id,title,artist,year,imagepath
158,"Femme à mi-corps, couchée sur un divan",85,1829,434e349c07de719f01627e80f53f80ca8254fd90f5c91869bc824d3cad9f09f2.jpg
159,La mort d'Hippolyte,85,1825,a9fccdcd163de8b0530cdf85577d8e70a4ec192d45c0e0dc56110ae61399e688.jpg
160,"Énée, dans l'embrasement de Troie, voulant retourner au combat, est arrêté par sa femme Créuse",86,1785,ca62b9b5d64722b4a5b30c43887575bbef5c5856df7e072f1ce279690a565caa.jpg
161,La Charité,87,1540,76e210abae7e40236c3018541738a8429a5feb28c6fef42c2bf9616c39c42013.jpg
162,"Une mare, effet du soir après l'orage",88,1850,97dce797b80093132d899a0408ec26cb9089f142dd98ceb6fbb81311474fb54d.jpg
163,Jeune homme en cuirasse,89,1730,3c0ab053f88a60ad0143ad7458e603ee68bfe8b8796eacfca6cfbeaa819f506a.jpg
164,La mort de Charles IX,90,1834,fe24624067832c58898f432d507b44886a74ce6b2e00905d8b894d69612d91f6.jpg
165,Madone du Magnificat,91,1485,84e083e5d51bfa572233faf6b354c079f971676b2e371c161f123f2df60fd3c3.jpg
167,Portrait du peintre Frans Francken l'Ancien,197,1615,6581e8873f8b8124db5b645b906cd65d0be87ad23b9fbfac41e49807bb9057df.jpg
168,Allégorie de l'Autriche catholique attaquée par les protestants,197,1621,158d727bdf4bbc5aaa4a3732e675a62923222029710438ada0d803a8fc7acdc9.jpg
169,L'Homme à la pipe,32,1849,adbd2dde4a7f32ede4a223653b856359c3d139682b1b05ba2c93da14bd5b143c.jpg
170,Rixe de paysans,129,1620,34cc3b523be4fa0d4751f0d443939ee92e558360461696819b24a02b9986f7e3.jpg
171,Paysage au pont,198,1695,67424e7cae5cf47d4ccd20d08fcaf616351165d623843c445f99f974acaa1859.jpg
172,Un arracheur de dents,199,1655,07def7e1d2247e56008838ecdb3d35c3f6f2ec41a46e0ff26bd2554df87f395e.jpg
173,La Visitation,200,1510,289b8a57ecabf8f0055d697faa7481201659ab64700122d5689b58085f88352d.jpg
